Title,Note,URL,Tags,Comment
Nai brother LiC,casual chinese dinner,https://www.google.com/maps/place/Nai+brother+LiC/data=!4m2!3m1!1s0x89c259e302705ad9:0x49f33ea35ed37d44,,
L’industrie Pizzeria West Village,"super good pizza, casual vibes",https://www.google.com/maps/place/L%E2%80%99industrie+Pizzeria+West+Village/data=!4m2!3m1!1s0x89c2599568ac63f7:0x78fb89ff91782eb0,,
Win Son Bakery,"i can eat the scallion pancakes everyday, casual brunch",https://www.google.com/maps/place/Win+Son+Bakery/data=!4m2!3m1!1s0x89c25b9f9a844559:0x874264acd136a40f,,
Mala Hot Pot,one of my fav hotpot in new york,https://www.google.com/maps/place/Mala+Hot+Pot/data=!4m2!3m1!1s0x89c2597cfddff853:0xbc47568511d6f218,,
Chi Chicken,love the coconut chicken,https://www.google.com/maps/place/Chi+Chicken/data=!4m2!3m1!1s0x89c2597713cf2aa1:0x4d12764af97f7e79,,
The Tyger,good vibes with friends,https://www.google.com/maps/place/The+Tyger/data=!4m2!3m1!1s0x89c259e49f23f1d9:0x81739748a4a9d77b,,
YAO Modern Cantonese Cuisine 富瑤,"authentic canto food, good with family",https://www.google.com/maps/place/YAO+Modern+Cantonese+Cuisine+%E5%AF%8C%E7%91%A4/data=!4m2!3m1!1s0x89c25b00077b2db1:0xda4f1212473af0bd,,
11 Tigers,cute creative thai food,https://www.google.com/maps/place/11+Tigers/data=!4m2!3m1!1s0x89c2594ec6f288f5:0xe0d193ad6841ad86,,
CHADA NYC,"super good thai food, popular on tiktok",https://www.google.com/maps/place/CHADA+NYC/data=!4m2!3m1!1s0x89c25900043614e3:0x39f607531d60a972,,
Antoya Korean BBQ,good kbbq in ktown,https://www.google.com/maps/place/Antoya+Korean+BBQ/data=!4m2!3m1!1s0x89c259a8e1040001:0x85a9472d22096b84,,
Olle,super authentic korean food,https://www.google.com/maps/place/Olle/data=!4m2!3m1!1s0x89c259fa0d8ca615:0x72f7a0320ee25655,,
ICHIRAN Ramen NY Times Square,favorite ramen ever,https://www.google.com/maps/place/ICHIRAN+Ramen+NY+Times+Square/data=!4m2!3m1!1s0x89c259598989a063:0x8f1595e92419e152,,
Kaoru,,https://www.google.com/maps/place/Kaoru/data=!4m2!3m1!1s0x89c2591d6a9c03f9:0x8362d00a27a20d40,,
konban NYC,"cute date vibes, creative korean, good katsu",https://www.google.com/maps/place/konban+NYC/data=!4m2!3m1!1s0x89c259cd8ad164bd:0xb17053d7b7443f4d,,
Sushiro the Handroll Bar,"loved the handroll, big portions, cute date vibes",https://www.google.com/maps/place/Sushiro+the+Handroll+Bar/data=!4m2!3m1!1s0x89c259fcce606281:0xc7d5629b514f5e46,,
Boqueria Flatiron,good tapas,https://www.google.com/maps/place/Boqueria+Flatiron/data=!4m2!3m1!1s0x89c259a3394f9953:0x8c12ea62ff858b72,,
Carlota,best happy hour oysters,https://www.google.com/maps/place/Carlota/data=!4m2!3m1!1s0x89c25b0e3a64b1cb:0xf4a3e48fcbad1d78,,
E 31st St,super good korean food,https://www.google.com/maps/place/E+31st+St/data=!4m2!3m1!1s0x89c259080ca59b2f:0x352273088e4dfaa,,
Misi,"fav italian food in new york, really cute vibes",https://www.google.com/maps/place/Misi/data=!4m2!3m1!1s0x89c259fa53acb4c3:0x75e745e94a922113,,
HOWOO,"favorite kbbq place, fancy, and good for dates or with friends if you are craving some good kbbq",https://www.google.com/maps/place/HOWOO/data=!4m2!3m1!1s0x89c259666eb00229:0x31193ca8feca1957,,
Bangkok Supper Club,"really good thai food, fine dining, good with dates or with friends for special occasions",https://www.google.com/maps/place/Bangkok+Supper+Club/data=!4m2!3m1!1s0x89c259350ea1dbbd:0xa4414d5a0ffb0e7a,,
Beefbar New York,"fine dining, loved the meat, good for dates",https://www.google.com/maps/place/Beefbar+New+York/data=!4m2!3m1!1s0x89c2595afa083f2b:0xd8f06e86002d001f,,
Little Ruby's West Village,"cute vibes, good with friends or date",https://www.google.com/maps/place/Little+Ruby's+West+Village/data=!4m2!3m1!1s0x89c259b326fb014f:0xea48d0159a3a286f,,
Raku,"favorite udon, pretty casual, good with friends",https://www.google.com/maps/place/Raku/data=!4m2!3m1!1s0x89c2596cd01077a3:0xa97c11b20f1fe952,,
Chongqing Lao Zao 重慶老灶,"favorite hotpot place ever, immaculate vibes",https://www.google.com/maps/place/Chongqing+Lao+Zao+%E9%87%8D%E6%85%B6%E8%80%81%E7%81%B6/data=!4m2!3m1!1s0x89c261f1d59189bb:0x91595bcba72e85f7,,
HOJOKBAN NYC,"my favorite korean food, very creative and good for date or with friends",https://www.google.com/maps/place/HOJOKBAN+NYC/data=!4m2!3m1!1s0x89c25957ca0865f7:0x55ed330c715808f,,
